MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|DE-LU
02.01.2020 13:15 - 02.01.2020 13:30,41,EUR,
02.01.2020 13:30 - 02.01.2020 13:45,40.95,EUR,
02.01.2020 13:45 - 02.01.2020 14:00,33.75,EUR,
02.01.2020 14:00 - 02.01.2020 14:15,25.67,EUR,
02.01.2020 14:15 - 02.01.2020 14:30,39.8,EUR,
02.01.2020 14:30 - 02.01.2020 14:45,42.07,EUR,
02.01.2020 14:45 - 02.01.2020 15:00,44.53,EUR,
02.01.2020 15:00 - 02.01.2020 15:15,26.79,EUR,
02.01.2020 15:15 - 02.01.2020 15:30,38.2,EUR,
02.01.2020 15:30 - 02.01.2020 15:45,43.98,EUR,
02.01.2020 15:45 - 02.01.2020 16:00,47.66,EUR,
02.01.2020 16:00 - 02.01.2020 16:15,34.95,EUR,
02.01.2020 16:15 - 02.01.2020 16:30,41.79,EUR,
02.01.2020 16:30 - 02.01.2020 16:45,43.64,EUR,
02.01.2020 16:45 - 02.01.2020 17:00,43.6,EUR,
02.01.2020 17:00 - 02.01.2020 17:15,45.02,EUR,
02.01.2020 17:15 - 02.01.2020 17:30,45.04,EUR,
02.01.2020 17:30 - 02.01.2020 17:45,46.41,EUR,
02.01.2020 17:45 - 02.01.2020 18:00,43.5,EUR,
02.01.2020 18:00 - 02.01.2020 18:15,53.1,EUR,
02.01.2020 18:15 - 02.01.2020 18:30,44.84,EUR,
02.01.2020 18:30 - 02.01.2020 18:45,43.78,EUR,
02.01.2020 18:45 - 02.01.2020 19:00,36.14,EUR,
02.01.2020 19:00 - 02.01.2020 19:15,48.79,EUR,
02.01.2020 19:15 - 02.01.2020 19:30,41.55,EUR,
02.01.2020 19:30 - 02.01.2020 19:45,38.66,EUR,
02.01.2020 19:45 - 02.01.2020 20:00,27,EUR,
02.01.2020 20:00 - 02.01.2020 20:15,60.42,EUR,
02.01.2020 20:15 - 02.01.2020 20:30,45.6,EUR,
02.01.2020 20:30 - 02.01.2020 20:45,26.7,EUR,
02.01.2020 20:45 - 02.01.2020 21:00,21.54,EUR,
02.01.2020 21:00 - 02.01.2020 21:15,46.23,EUR,
02.01.2020 21:15 - 02.01.2020 21:30,41.4,EUR,
02.01.2020 21:30 - 02.01.2020 21:45,22,EUR,
02.01.2020 21:45 - 02.01.2020 22:00,14.41,EUR,
02.01.2020 22:00 - 02.01.2020 22:15,44.5,EUR,
02.01.2020 22:15 - 02.01.2020 22:30,41.5,EUR,
02.01.2020 22:30 - 02.01.2020 22:45,21.7,EUR,
02.01.2020 22:45 - 02.01.2020 23:00,10.52,EUR,
02.01.2020 23:00 - 02.01.2020 23:15,43.02,EUR,
02.01.2020 23:15 - 02.01.2020 23:30,31.77,EUR,
02.01.2020 23:30 - 02.01.2020 23:45,17.88,EUR,
02.01.2020 23:45 - 03.01.2020 00:00,-2.92,EUR,
03.01.2020 00:00 - 03.01.2020 00:15,36.82,EUR,
03.01.2020 00:15 - 03.01.2020 00:30,27.34,EUR,
03.01.2020 00:30 - 03.01.2020 00:45,20,EUR,
03.01.2020 00:45 - 03.01.2020 01:00,1.84,EUR,
