"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar  [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-LU"
"01.01.2018 16:30 - 01.01.2018 16:45","n/e","n/e","n/e","n/e","4001","n/e","n/e","19300","n/e"
"01.01.2018 16:45 - 01.01.2018 17:00","n/e","n/e","n/e","n/e","3955","n/e","n/e","18830","n/e"
"01.01.2018 17:00 - 01.01.2018 17:15","n/e","n/e","n/e","n/e","3878","n/e","n/e","18409","n/e"
"01.01.2018 17:15 - 01.01.2018 17:30","n/e","n/e","n/e","n/e","3768","n/e","n/e","18235","n/e"
"01.01.2018 17:30 - 01.01.2018 17:45","n/e","n/e","n/e","n/e","3645","n/e","n/e","17847","n/e"
"01.01.2018 17:45 - 01.01.2018 18:00","n/e","n/e","n/e","n/e","3563","n/e","n/e","17523","n/e"
"01.01.2018 18:00 - 01.01.2018 18:15","n/e","n/e","n/e","n/e","3501","n/e","n/e","17167","n/e"
"01.01.2018 18:15 - 01.01.2018 18:30","n/e","n/e","n/e","n/e","3344","n/e","n/e","17175","n/e"
"01.01.2018 18:30 - 01.01.2018 18:45","n/e","n/e","n/e","n/e","3221","n/e","n/e","17076","n/e"
"01.01.2018 18:45 - 01.01.2018 19:00","n/e","n/e","n/e","n/e","3101","n/e","n/e","16893","n/e"
"01.01.2018 19:00 - 01.01.2018 19:15","n/e","n/e","n/e","n/e","2982","n/e","n/e","16756","n/e"
"01.01.2018 19:15 - 01.01.2018 19:30","n/e","n/e","n/e","n/e","2956","n/e","n/e","16548","n/e"
"01.01.2018 19:30 - 01.01.2018 19:45","n/e","n/e","n/e","n/e","2833","n/e","n/e","16290","n/e"
"01.01.2018 19:45 - 01.01.2018 20:00","n/e","n/e","n/e","n/e","2737","n/e","n/e","16026","n/e"
"01.01.2018 20:00 - 01.01.2018 20:15","n/e","n/e","n/e","n/e","2669","n/e","n/e","15494","n/e"
"01.01.2018 20:15 - 01.01.2018 20:30","n/e","n/e","n/e","n/e","2550","n/e","n/e","15245","n/e"
"01.01.2018 20:30 - 01.01.2018 20:45","n/e","n/e","n/e","n/e","2509","n/e","n/e","15132","n/e"
"01.01.2018 20:45 - 01.01.2018 21:00","n/e","n/e","n/e","n/e","2456","n/e","n/e","14960","n/e"
"01.01.2018 21:00 - 01.01.2018 21:15","n/e","n/e","n/e","n/e","2385","n/e","n/e","14746","n/e"
"01.01.2018 21:15 - 01.01.2018 21:30","n/e","n/e","n/e","n/e","2335","n/e","n/e","14530","n/e"
"01.01.2018 21:30 - 01.01.2018 21:45","n/e","n/e","n/e","n/e","2236","n/e","n/e","14311","n/e"
"01.01.2018 21:45 - 01.01.2018 22:00","n/e","n/e","n/e","n/e","2124","n/e","n/e","14144","n/e"
"01.01.2018 22:00 - 01.01.2018 22:15","n/e","n/e","n/e","n/e","2038","n/e","n/e","13983","n/e"
"01.01.2018 22:15 - 01.01.2018 22:30","n/e","n/e","n/e","n/e","1961","n/e","n/e","13899","n/e"
"01.01.2018 22:30 - 01.01.2018 22:45","n/e","n/e","n/e","n/e","1887","n/e","n/e","13837","n/e"
"01.01.2018 22:45 - 01.01.2018 23:00","n/e","n/e","n/e","n/e","1817","n/e","n/e","13849","n/e"
"01.01.2018 23:00 - 01.01.2018 23:15","n/e","n/e","n/e","n/e","1756","n/e","n/e","13860","n/e"
"01.01.2018 23:15 - 01.01.2018 23:30","n/e","n/e","n/e","n/e","1713","n/e","n/e","13789","n/e"
"01.01.2018 23:30 - 01.01.2018 23:45","n/e","n/e","n/e","n/e","1679","n/e","n/e","13720","n/e"
"01.01.2018 23:45 - 02.01.2018 00:00","n/e","n/e","n/e","n/e","1648","n/e","n/e","13683","n/e"
"02.01.2018 00:00 - 02.01.2018 00:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14151","n/e"
"02.01.2018 00:15 - 02.01.2018 00:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","13999","n/e"
"02.01.2018 00:30 - 02.01.2018 00:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","13734","n/e"
"02.01.2018 00:45 - 02.01.2018 01:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","13581","n/e"
"02.01.2018 01:00 - 02.01.2018 01:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14449","n/e"
"02.01.2018 01:15 - 02.01.2018 01:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14554","n/e"
"02.01.2018 01:30 - 02.01.2018 01:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14797","n/e"
"02.01.2018 01:45 - 02.01.2018 02:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14808","n/e"
"02.01.2018 02:00 - 02.01.2018 02:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14753","n/e"
"02.01.2018 02:15 - 02.01.2018 02:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14462","n/e"
"02.01.2018 02:30 - 02.01.2018 02:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14359","n/e"
"02.01.2018 02:45 - 02.01.2018 03:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14480","n/e"
"02.01.2018 03:00 - 02.01.2018 03:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14357","n/e"
"02.01.2018 03:15 - 02.01.2018 03:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14347","n/e"
"02.01.2018 03:30 - 02.01.2018 03:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14385","n/e"
"02.01.2018 03:45 - 02.01.2018 04:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14452","n/e"
"02.01.2018 04:00 - 02.01.2018 04:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14532","n/e"
"02.01.2018 04:15 - 02.01.2018 04:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14843","n/e"
"02.01.2018 04:30 - 02.01.2018 04:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15054","n/e"
"02.01.2018 04:45 - 02.01.2018 05:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15203","n/e"
"02.01.2018 05:00 - 02.01.2018 05:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15299","n/e"
"02.01.2018 05:15 - 02.01.2018 05:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15401","n/e"
"02.01.2018 05:30 - 02.01.2018 05:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15477","n/e"
"02.01.2018 05:45 - 02.01.2018 06:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15620","n/e"
"02.01.2018 06:00 - 02.01.2018 06:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15722","n/e"
"02.01.2018 06:15 - 02.01.2018 06:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15792","n/e"
"02.01.2018 06:30 - 02.01.2018 06:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15696","n/e"
"02.01.2018 06:45 - 02.01.2018 07:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15580","n/e"
"02.01.2018 07:00 - 02.01.2018 07:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15598","n/e"
"02.01.2018 07:15 - 02.01.2018 07:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15490","n/e"
"02.01.2018 07:30 - 02.01.2018 07:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15425","n/e"
